CASE ID,ACTIVITY 11,Explanation
201810000288,0.0,No explanation found
201810000294,1.0,No explanation found
201810003133,0.0,ACTIVITY_ACTIVITY 8 not happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S000 not happening has predicted that ACTIVITY 11 won't be performed; 
201810003267,1.0,No explanation found
201810003451,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201810003700,0.0,ACTIVITY_ACTIVITY 8 not happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S000 not happening has predicted that ACTIVITY 11 won't be performed; 
201810004663,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201810005779,0.0,ACTIVITY_ACTIVITY 10 happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S010 happening has predicted that ACTIVITY 11 won't be performed; 
201810006187,0.0,No explanation found
201810006582,1.0,CE_UO_CE_UO 228 happening has predicted that ACTIVITY 11 will be performed; CLOSURE_TYPE_Bank Recess happening has predicted that ACTIVITY 11 will be performed; 
201810006659,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201810008348,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201810008945,0.0,No explanation found
201810009923,1.0,CLOSURE_REASON_2 - Keep bank account. Same dip happening has predicted that ACTIVITY 11 will be performed; 
201810010157,0.0,CE_UO_CE_UO 347 happening has predicted that ACTIVITY 11 won't be performed; 
201810011190,0.0,ACTIVITY_ACTIVITY 2 happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S040 happening has predicted that ACTIVITY 11 won't be performed; 
201810011662,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201810011824,0.0,ACTIVITY_ACTIVITY 8 not happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S000 not happening has predicted that ACTIVITY 11 won't be performed; 
201811001422,1.0,No explanation found
201811001881,0.0,ACTIVITY_ACTIVITY 2 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S040 happening has predicted that ACTIVITY 11 won't be performed; 
201811002347,0.0,ACTIVITY_ACTIVITY 10 happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S010 happening has predicted that ACTIVITY 11 won't be performed; 
201811002692,0.0,ACTIVITY_ACTIVITY 10 happening has predicted that ACTIVITY 11 won't be performed; CLOSURE_TYPE_Bank Recess happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S010 happening has predicted that ACTIVITY 11 won't be performed; 
